id,agent,user,user_id,repo_id,html_url,api_url,status,http_status,additions,deletions,changed_files,commits,author_association,draft,maintainer_can_modify,github_merged,github_state,rate_limit_remaining,rate_limit_reset,fetched_at,error
3260533635,Cursor,mschile,2002044,31629751,https://github.com/cypress-io/cypress/pull/32095,https://api.github.com/repos/cypress-io/cypress/pulls/32095,ok,200,3,3,3,1,COLLABORATOR,False,False,True,closed,4351,1780523753,2026-06-03T21:14:18.026897+00:00,
3209314145,Cursor,jxxghp,51039935,657824656,https://github.com/jxxghp/MoviePilot-Frontend/pull/367,https://api.github.com/repos/jxxghp/MoviePilot-Frontend/pulls/367,ok,200,125,65,3,2,OWNER,False,False,True,closed,4350,1780523753,2026-06-03T21:14:19.342071+00:00,
3111012343,OpenAI_Codex,mldangelo,7235481,633927609,https://github.com/promptfoo/promptfoo/pull/4277,https://api.github.com/repos/promptfoo/promptfoo/pulls/4277,ok,200,18,0,18,1,MEMBER,False,False,True,closed,4349,1780523753,2026-06-03T21:14:20.560807+00:00,
3089561662,OpenAI_Codex,peter-lawrey,1070321,31261853,https://github.com/OpenHFT/Chronicle-Threads/pull/314,https://api.github.com/repos/OpenHFT/Chronicle-Threads/pulls/314,ok,200,12,0,1,1,MEMBER,False,False,True,closed,4348,1780523753,2026-06-03T21:14:21.623062+00:00,
3153329207,OpenAI_Codex,kolaente,13721712,159556794,https://github.com/go-vikunja/vikunja/pull/973,https://api.github.com/repos/go-vikunja/vikunja/pulls/973,ok,200,19,7,1,2,MEMBER,False,False,True,closed,4347,1780523753,2026-06-03T21:14:22.761903+00:00,
3085509117,OpenAI_Codex,lalalune,18633264,826170402,https://github.com/elizaOS/eliza/pull/4735,https://api.github.com/repos/elizaOS/eliza/pulls/4735,ok,200,75,0,1,1,MEMBER,True,False,False,closed,4346,1780523753,2026-06-03T21:14:24.059610+00:00,
3070372539,OpenAI_Codex,creatorrr,931887,781914762,https://github.com/julep-ai/julep/pull/1378,https://api.github.com/repos/julep-ai/julep/pulls/1378,ok,200,228,11091,20,1,CONTRIBUTOR,False,False,True,closed,4345,1780523753,2026-06-03T21:14:25.180390+00:00,
3229096395,Cursor,callicles,4429209,668493044,https://github.com/514-labs/moose/pull/2561,https://api.github.com/repos/514-labs/moosestack/pulls/2561,ok,200,2528,869,40,17,COLLABORATOR,False,False,True,closed,4343,1780523753,2026-06-03T21:14:26.720281+00:00,
3105133065,OpenAI_Codex,georgi,19498,777230015,https://github.com/nodetool-ai/nodetool/pull/110,https://api.github.com/repos/nodetool-ai/nodetool/pulls/110,ok,200,1,0,1,1,COLLABORATOR,False,False,True,closed,4342,1780523753,2026-06-03T21:14:27.937050+00:00,
3185909246,OpenAI_Codex,ChristopheZhao,17317538,609571313,https://github.com/ChristopheZhao/ChaGPT-API-Call/pull/16,https://api.github.com/repos/ChristopheZhao/ChaGPT-API-Call/pulls/16,ok,200,92,3,2,1,OWNER,False,False,True,closed,4341,1780523753,2026-06-03T21:14:29.173093+00:00,
3073304320,OpenAI_Codex,evandempsey,5140530,12141518,https://github.com/evandempsey/fp-growth/pull/33,https://api.github.com/repos/evandempsey/fp-growth/pulls/33,ok,200,32,140,5,1,OWNER,False,False,True,closed,4340,1780523753,2026-06-03T21:14:30.489120+00:00,
3129824536,OpenAI_Codex,theepicsaxguy,39008574,933720213,https://github.com/theepicsaxguy/homelab/pull/858,https://api.github.com/repos/theepicsaxguy/homelab/pulls/858,ok,200,94,8,9,2,OWNER,False,False,True,closed,4339,1780523753,2026-06-03T21:14:31.416506+00:00,
3235734906,Cursor,markokraemer,73443200,868173144,https://github.com/kortix-ai/suna/pull/953,https://api.github.com/repos/kortix-ai/suna/pulls/953,ok,200,29,11,2,3,CONTRIBUTOR,False,False,True,closed,4338,1780523753,2026-06-03T21:14:32.543103+00:00,
3254203873,OpenAI_Codex,3rdIteration,2230318,197336679,https://github.com/3rdIteration/btcrecover/pull/604,https://api.github.com/repos/3rdIteration/btcrecover/pulls/604,ok,200,1,1,1,1,OWNER,False,False,False,closed,4337,1780523753,2026-06-03T21:14:33.746515+00:00,
3163235513,OpenAI_Codex,sebastianwessel,6763983,822144221,https://github.com/sebastianwessel/quickjs/pull/77,https://api.github.com/repos/sebastianwessel/quickjs/pulls/77,ok,200,231,26,11,1,OWNER,False,False,True,closed,4336,1780523753,2026-06-03T21:14:34.794097+00:00,
3208946277,Cursor,nimarb,246059,642497346,https://github.com/langfuse/langfuse/pull/7726,https://api.github.com/repos/langfuse/langfuse/pulls/7726,ok,200,48,27,2,6,CONTRIBUTOR,False,False,True,closed,4335,1780523753,2026-06-03T21:14:35.934958+00:00,
