pr_id,agent,n_discussion_items,vader_mean,textblob_mean,senticr_negative_share,merged,repo_id,log_discussion_items
3211770505.0,Copilot,1,0.0,0.0,0.0,0,41881900,0.6931471805599453
3211931262.0,Copilot,1,-0.1471,-0.06817316017316016,0.0,1,232668984,0.6931471805599453
3211935118.0,Copilot,1,-0.296,0.0,0.0,1,872582333,0.6931471805599453
3211943706.0,Copilot,3,-0.08623333333333334,-0.08313131313131313,0.3333333333333333,0,872582333,1.3862943611198906
3211948604.0,Copilot,5,0.008800000000000007,0.0,0.2,1,134777298,1.791759469228055
3212056875.0,Copilot,1,0.3182,0.0,0.0,0,576719801,0.6931471805599453
3212186764.0,Copilot,5,0.61646,0.3497840909090909,0.0,1,46892512,1.791759469228055
3212218608.0,Claude_Code,7,0.14477142857142855,0.08896103896103895,0.0,1,126132964,2.0794415416798357
3212230718.0,Copilot,1,-0.1511,-0.625,0.0,0,166515022,0.6931471805599453
3212298491.0,Copilot,6,0.20826666666666668,0.2255952380952381,0.16666666666666666,0,225386107,1.9459101490553132
3212306696.0,Claude_Code,1,0.5797,0.425,0.0,0,890668799,0.6931471805599453
3212315483.0,Cursor,1,0.0,0.0,0.0,1,899127822,0.6931471805599453
3212367620.0,OpenAI_Codex,1,0.0,-0.08333333333333333,0.0,0,118615963,0.6931471805599453
3212422037.0,Copilot,2,0.3182,0.0,0.0,1,232668984,1.0986122886681098
3212603149.0,OpenAI_Codex,1,0.4926,0.875,0.0,1,614765452,0.6931471805599453
3212617082.0,Copilot,10,0.13164,0.006818181818181818,0.2,1,184154668,2.3978952727983707
3212619187.0,Copilot,14,-0.021071428571428574,0.029285714285714286,0.2857142857142857,0,184154668,2.70805020110221
3212626331.0,Copilot,3,0.2342,-0.07142857142857142,0.0,0,125832556,1.3862943611198906
3212710808.0,Copilot,1,0.0,0.0,0.0,1,816422401,0.6931471805599453
3212763311.0,Copilot,5,0.08399999999999999,-0.004999999999999999,0.0,1,35890081,1.791759469228055
3212776826.0,OpenAI_Codex,1,0.4404,0.7,0.0,1,633927609,0.6931471805599453
3212784906.0,Copilot,4,0.16985,0.025,0.0,1,35890081,1.6094379124341003
3212792099.0,Copilot,5,0.13588,0.02,0.0,1,35890081,1.791759469228055
3212797402.0,Copilot,5,0.07668,0.02,0.0,1,35890081,1.791759469228055
3212810620.0,Copilot,30,-0.09531333333333333,0.07022727272727272,0.23333333333333334,1,222508781,3.4339872044851463
3212842859.0,Devin,1,0.0,0.0,1.0,0,63812255,0.6931471805599453
3212880394.0,Copilot,6,-0.014000000000000004,-0.04114583333333333,0.16666666666666666,1,17620347,1.9459101490553132
